title,company,degree,experience,max_salary(/month),min_salary(/month),place,title,CompanyType
Android开发工程师,陕西汉唐医疗软件科技有限公司,本科,3-4年经验,4.5千/月,3,宝鸡,Android开发工程师,民营
高级软件工程师（app开发组）,陕西信隆科技有限公司,中专,3-4年经验,20,15,西安-高新技术产业开发区,高级软件工程师（app开发组）,民营
自动化软件测试工程师,深圳市广和通无线股份有限公司,本科,无工作经验,1,0.5,西安-高新技术产业开发区,自动化软件测试工程师,民营
C++、C#开发工程师,苏州思源科安信息技术有限公司,大专,无工作经验,1,0.8,西安-高新技术产业开发区,C++、C#开发工程师,民营
MAX、MAYA开发工程师,陕西卓越兄弟科工贸有限公司,大专,无工作经验,1,0.6,西安,MAX、MAYA开发工程师,民营
软件开发岗-陕西分公司-西安(001713) (职位编号：cmos001713),中移在线服务有限公司,本科,2年经验,1,0.8,西安,软件开发岗-陕西分公司-西安(001713) (职位编号：cmos001713),国企       
软件工程师,华润雪花啤酒（中国）有限公司西安销售分公司,本科,2年经验,4.5千/月,3,西安,软件工程师,外资（非欧美）      
性能监测运维工程师（五险一金 周末双休）,苏州卓能通信科技有限公司,本科,2年经验,6千/月,4,西安,性能监测运维工程师（五险一金 周末双休）,民营
全栈工程师,西安谷博电子智能科技有限公司,本科,1年经验,6千/月,4.5,西安,全栈工程师,民营
windchill实施顾问,北京思威泰克科技有限责任公司,大专,1年经验,1.5,1,西安,windchill实施顾问,民营
外企助理文职岗双休+五险,北京才秀人人科技有限公司,大专,无工作经验,6千/月,4.5,西安,外企助理文职岗双休+五险,上市
底薪4K诚聘网页设计美工/实习生/双休,恒耀商贸,大专,无工作经验,8千/月,6,西安-莲湖区,底薪4K诚聘网页设计美工/实习生/双休,民营
手机软件工程师,陕西光辉电子科技有限公司,本科,无工作经验,1.5,0.5,西安,手机软件工程师,创业
网络安全研究员（人工智能方向）,兴唐通信科技有限公司,中专,无工作经验,2,1,北京-海淀区,网络安全研究员（人工智能方向）,国企          
web开发工程师,上海数果科技有限公司,本科,无工作经验,1.5,0.8,西安,web开发工程师,外资（非欧美）      
Android软件（高级）工程师,西安天睿软件有限公司,本科,无工作经验,8千/月,6,西安,Android软件（高级）工程师,民营
Net 实习生,北京盛安德科技发展有限公司西安第一分公司,大专,无工作经验,5千/月,2,西安,Net 实习生,民营
软件测试工程师（高级）,陕西土豆数据科技有限公司,本科,无工作经验,1.6,0.8,西安,软件测试工程师（高级）,民营
非标自动化工程师,西安维思自动化工程有限公司,本科,3-4年经验,6.5千/月,3.5,西安,非标自动化工程师,民营
软件研发工程师,宁波麦博韦尔移动电话有限公司,本科,无工作经验,8千/月,6,宁波,软件研发工程师,外资（非欧美）       
iOS软件工程师,力新国际（西安）科技有限公司,大专,无工作经验,9.9千/月,4,西安,iOS软件工程师,外资（非欧美）       
Android程序员 (职位编号：0005),北京十安赛恩科技有限公司,大专,2年经验,1.5,0.8,西安-高新技术产业开发区,Android程序员 (职位编号：0005),合资        
IT主管,西安科大高新培训学校,本科,2年经验,1.2,0.6,西安-长安区,IT主管,民营
产品研发经理(7-11K)双休五险一金,西安雁塔兆隆计算机培训中心,本科,3-4年经验,1.1,0.7,西安,产品研发经理(7-11K)双休五险一金,民营
仓库管员/库管员//,西安亚鹏机械设备有限公司,高中,无工作经验,8千/月,6,西安,仓库管员/库管员//,民营
软件开发工程师,比亚迪汽车金融有限公司,本科,2年经验,8千/月,6,西安-高新技术产业开发区,软件开发工程师,合资      
系统集成工程师,西安斯特大禹水务有限公司,本科,3-4年经验,6千/月,4.5,西安,系统集成工程师,民营
起薪5K 仓管员-IT实训生 双休+五险一金,陕西建科建筑基础工程有限公司,中专,无工作经验,4.5千/月,3,西安-碑林区,起薪5K 仓管员-IT实训生 双休+五险一金,民营
CAE工程师（二次开发方向）,北京怡格明思工程技术有限公司,硕士,1年经验,1,0.5,西安-雁塔区,CAE工程师（二次开发方向）,民营
GIS软件开发工程师,西安山脉科技发展有限公司,本科,5-7年经验,1.5,1,西安,GIS软件开发工程师,民营
初级运维工程师,西安贝加尔网络科技有限公司,本科,3-4年经验,8千/月,6,西安-高新技术产业开发区,初级运维工程师,民营
网络美工（工作地址：曲江）,西安聚航网络科技有限公司,大专,1年经验,4.5千/月,3,西安,网络美工（工作地址：曲江）,民营
Android开发工程师,宁波普天通信技术有限公司,中专,2年经验,1,0.6,西安,Android开发工程师,民营
软件工程师（Android客户端）,西安西电捷通无线网络通信股份有限公司,本科,2年经验,1.2,0.6,西安,软件工程师（Android客户端）,民营
软件工程师,东岭集团,本科,无工作经验,8千/月,5,宝鸡,软件工程师,民营
软件系统主管,陕西唐荣园艺产业发展股份有限公司,本科,无工作经验,1,0.8,西安-高新技术产业开发区,软件系统主管,上市
开发工程师,北京富基融通科技有限公司,大专,3-4年经验,7千/月,5,西安,开发工程师,上市
手机APP开发程序员,深圳市艾达亮科技有限公司,中专,2年经验,1,0.5,西安-高新技术产业开发区,手机APP开发程序员,民营
软件项目经理SPM（西安）,西安易朴通讯技术有限公司,本科,无工作经验,1.5,1,西安-雁塔区,软件项目经理SPM（西安）,民营
初中级大数据开发工程师,美林数据技术股份有限公司,本科,无工作经验,1,0.5,西安,初中级大数据开发工程师,民营
swing开发工程师,西安天文点网络科技有限公司,大专,无工作经验,4.5千/月,3,西安,swing开发工程师,民营
运维工程师,陕西亿杰鑫信息技术有限公司,大专,1年经验,6千/月,4.5,西安-高新技术产业开发区,运维工程师,民营
(SLN)MES工程师(269682) (职位编号：269682),西门子(中国)有限公司 SLC (HR),本科,5-7年经验,,,西安,(SLN)MES工程师(269682) (职位编号：269682),"外资（欧美）            ??|??专业服务(咨询、人力资源、财会),仪器仪表/工业自动化    "
技术经理（西安）,上海透云物联网科技有限公司,中专,无工作经验,3,2,西安,技术经理（西安）,外资（非欧美）        ??|??150-500人            ??|??互联网/电子商务    
物理类（西安）,索尼电子（无锡）有限公司,本科,无工作经验,,,西安,物理类（西安）,外资（非欧美）        
QA Engineer,维塔士电脑软件（西安）有限公司,本科,3-4年经验,8千/月,5,西安,QA Engineer,"外资（欧美）        ??|??1000-5000人            ??|??计算机软件,网络游戏    "
